model,horizon,city,rmse,mae,r2
persistence,aqi_d1,Karachi,19.469400356364506,8.347517730496454,0.25681100894656383
persistence,aqi_d1,Lahore,21.52505023043708,16.755787037037038,0.2456933760196418
persistence,aqi_d1,Faisalabad,19.434916506379157,13.970744680851064,0.16545470175545485
persistence,aqi_d1,Islamabad,16.579212040009992,12.721631205673757,0.6017728407412188
persistence,aqi_d1,Peshawar,15.232991522772556,12.028368794326243,0.5781046657268845
persistence,aqi_d2,Karachi,24.125960000007993,11.924645390070923,-0.12825581600408498
persistence,aqi_d2,Lahore,32.65018200018281,27.36226851851852,-0.9237378664898992
persistence,aqi_d2,Faisalabad,26.422394897655654,20.627659574468083,-0.6193823280549644
persistence,aqi_d2,Islamabad,25.493503060310324,20.059397163120565,0.0861179976290789
persistence,aqi_d2,Peshawar,24.4622717841014,19.578900709219855,0.04892336240783035
persistence,aqi_d3,Karachi,25.656299115364085,14.659332688588005,-0.27950947823890826
persistence,aqi_d3,Lahore,36.54753295195728,30.95156425364759,-1.7779926791751461
persistence,aqi_d3,Faisalabad,27.41153755377817,21.11479153234472,-0.9533786493493395
persistence,aqi_d3,Islamabad,29.612758052678448,23.30821513002364,-0.16286627584611812
persistence,aqi_d3,Peshawar,28.554333224659445,23.061250805931653,-0.16298928128592483
ridge,aqi_d1,Karachi,19.69543380108546,9.982444830820619,0.23945447061419134
ridge,aqi_d1,Lahore,19.93331427090868,15.341164938792652,0.35312762879290616
ridge,aqi_d1,Faisalabad,13.006411658273555,10.45497162138295,0.6262342113307791
ridge,aqi_d1,Islamabad,18.021758226213134,15.455556814865579,0.5294590533633398
ridge,aqi_d1,Peshawar,17.775016651027336,14.641573706563156,0.42554719522101514
ridge,aqi_d2,Karachi,28.467659379750238,16.30784577825726,-0.5708759676201756
ridge,aqi_d2,Lahore,32.530597025596975,26.044640023175628,-0.9096718590433452
ridge,aqi_d2,Faisalabad,20.123935695631186,15.556945864787568,0.06064256032311688
ridge,aqi_d2,Islamabad,28.442011675168516,24.98511822407764,-0.1375008069647108
ridge,aqi_d2,Peshawar,28.91882854563167,23.765532584989963,-0.32917857574056497
ridge,aqi_d3,Karachi,27.58607960476522,18.477132808495696,-0.4792291522537089
ridge,aqi_d3,Lahore,41.629228764760406,34.940089136851235,-2.604223337513592
ridge,aqi_d3,Faisalabad,24.439135381212758,19.6278103058827,-0.5527134607023043
ridge,aqi_d3,Islamabad,28.607656197692773,25.094179428102123,-0.08526704351673153
ridge,aqi_d3,Peshawar,32.80147513290348,27.77210922922011,-0.5346820566756245
random_forest,aqi_d1,Karachi,9.435981800727665,5.075020747271828,0.8254305251608322
random_forest,aqi_d1,Lahore,13.29414116649685,10.384204308384946,0.7122733120419955
random_forest,aqi_d1,Faisalabad,10.552378097791168,8.651861286431066,0.7539715990479192
random_forest,aqi_d1,Islamabad,9.76571600664816,7.965581152618252,0.8618307866777847
random_forest,aqi_d1,Peshawar,9.468767228461633,7.474080855727159,0.8369873894169906
random_forest,aqi_d2,Karachi,17.340679784474506,9.943047324823011,0.4171314653436259
random_forest,aqi_d2,Lahore,24.634639483955446,20.362506540518837,-0.09513359690872858
random_forest,aqi_d2,Faisalabad,20.83155446921249,16.843104227897523,-0.006580226376595721
random_forest,aqi_d2,Islamabad,20.097479916730826,16.49477424000295,0.4320445132695734
random_forest,aqi_d2,Peshawar,19.32902522860845,15.67523205528958,0.4061977409131846
random_forest,aqi_d3,Karachi,19.91613824119473,12.810507499392587,0.22897980902863513
random_forest,aqi_d3,Lahore,28.639923164884927,23.652295535369447,-0.7059200016050211
random_forest,aqi_d3,Faisalabad,22.308238241436797,18.558987141337308,-0.2937494895227193
random_forest,aqi_d3,Islamabad,23.286616861849858,19.937019523099234,0.2809073419193605
random_forest,aqi_d3,Peshawar,23.458540323762094,18.81953627467645,0.2150651062208957
xgboost,aqi_d1,Karachi,21.77379485287996,8.335661948995389,0.07047222825925104
xgboost,aqi_d1,Lahore,13.401289558985425,10.554125609221284,0.7076165701540886
xgboost,aqi_d1,Faisalabad,10.575535466982462,8.077610475797178,0.7528905873656814
xgboost,aqi_d1,Islamabad,9.680242424719363,7.849142683313249,0.8642388303614563
xgboost,aqi_d1,Peshawar,8.51307923269241,7.068539829118874,0.8682326922180212
xgboost,aqi_d2,Karachi,31.34386702977295,14.859940819706473,-0.9043357765580899
xgboost,aqi_d2,Lahore,25.03808838086278,21.263788929692023,-0.13129799354345173
xgboost,aqi_d2,Faisalabad,21.085854973778634,16.64505334948817,-0.03130581812244371
xgboost,aqi_d2,Islamabad,20.860455692589998,17.223767382033326,0.38810250503578225
xgboost,aqi_d2,Peshawar,18.983210655823825,15.92501647083472,0.42725504303788064
xgboost,aqi_d3,Karachi,22.138647226682515,13.944170965985432,0.04729674968393771
xgboost,aqi_d3,Lahore,27.61917110262848,23.363423907261776,-0.5864860047258655
xgboost,aqi_d3,Faisalabad,21.925926080691227,17.384788554175394,-0.2497856531285083
xgboost,aqi_d3,Islamabad,24.171603959940963,21.07455491230561,0.22521179778470712
xgboost,aqi_d3,Peshawar,24.104505055979757,19.999328691985514,0.1712412967529433
sarimax,aqi_d1,Karachi,18.98180880534623,10.588738514393956,0.2935697212567542
sarimax,aqi_d1,Lahore,18.35658367443941,15.345348269246333,0.45141580540342297
sarimax,aqi_d1,Faisalabad,17.835853236617545,13.479730574342325,0.2971343222447723
sarimax,aqi_d1,Islamabad,16.697878198304966,13.572976346308705,0.5960517961748155
sarimax,aqi_d1,Peshawar,15.66566411489062,13.020738115060542,0.553797557681794
sarimax,aqi_d2,Karachi,23.557371493958748,15.126859572030686,-0.07570214706049505
sarimax,aqi_d2,Lahore,25.015426907492206,20.474554527500025,-0.12925108986202694
sarimax,aqi_d2,Faisalabad,22.34600809303159,18.466190938660436,-0.15825701967186268
sarimax,aqi_d2,Islamabad,24.89641723339934,20.70771112546371,0.12842492905028335
sarimax,aqi_d2,Peshawar,25.53897042114493,20.82707196674078,-0.03664178381092631
sarimax,aqi_d3,Karachi,25.296700638422276,16.78791174057902,-0.24389364674625935
sarimax,aqi_d3,Lahore,25.473389070045325,20.50770588884852,-0.3495482674847221
sarimax,aqi_d3,Faisalabad,22.16421634953033,18.34585970900578,-0.2770985303632265
sarimax,aqi_d3,Islamabad,27.72171929511829,23.88064423212083,-0.01908963023676402
sarimax,aqi_d3,Peshawar,29.751559024684443,24.41589619745544,-0.2625573717647065
lstm,aqi_d1,Karachi,14.524178528427516,10.185519820409462,0.5864031015641811
lstm,aqi_d1,Lahore,12.857879940262015,10.464935655947084,0.7308475689499365
lstm,aqi_d1,Faisalabad,13.123356694923222,10.86837341092157,0.6194826858630816
lstm,aqi_d1,Islamabad,13.002254968479413,10.303668353574498,0.7550708586482419
lstm,aqi_d1,Peshawar,12.007687818985348,9.323804977092335,0.7378480463498323
lstm,aqi_d2,Karachi,24.313052530473335,11.89373032590176,-0.1458225127487882
lstm,aqi_d2,Lahore,25.834263648781494,21.201797414709024,-0.2043892084377128
lstm,aqi_d2,Faisalabad,24.486843723721893,18.94844872224415,-0.3908191334263731
lstm,aqi_d2,Islamabad,20.108005687459126,16.823753952134584,0.4314494401805341
lstm,aqi_d2,Peshawar,19.35655533465782,15.036937470131736,0.4045050450109997
lstm,aqi_d3,Karachi,25.404446736808524,15.128135159736598,-0.2545124317389764
lstm,aqi_d3,Lahore,32.50693247393353,25.266601239256858,-1.1976925827851312
lstm,aqi_d3,Faisalabad,27.188678186638153,22.00984807427458,-0.9217453205643569
lstm,aqi_d3,Islamabad,23.356687238439406,19.864083508791374,0.2765732729509246
lstm,aqi_d3,Peshawar,24.78114048466829,20.174880356730224,0.12406023026143975
